ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,100000,-nan,0.4350738525,188946.2886,21.56921103
5,5,25,6,0.2399999946,100000,-nan,0.4700291157,327344.2099,37.36806049
6,6,36,6,0.1666000038,100000,-nan,0.7517240047,460446.3514,52.56236888
7,7,49,6,0.1224000007,100000,-nan,1.249076128,580116.8077,66.22337987
8,8,64,6,0.09369999915,100000,-nan,2.131278038,685319.6595,78.23283784
9,9,81,6,0.07400000095,100000,-nan,3.329468966,777836.3802,88.79410732
10,10,100,6,0.05999999866,100000,-nan,5.032363892,858488.832,98.00100822
11,11,121,6,0.04949999973,100000,-nan,7.390883923,931496.3456,106.3351993
12,12,144,6,0.04160000011,100000,-nan,10.39870811,995180.7078,113.6051036
