ROWS,COLS,NUM_OF_CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,100000,94.16705421,1.782640934,190927.3725,21.79536215
5,5,25,6,0.24,100000,120.1755873,4.632124901,332359.928,37.94063105
6,6,36,6,0.1666,100000,134.570839,9.780148029,468342.6326,53.46377084
7,7,49,6,0.1224,100000,142.3095787,18.17569423,590333.1872,67.38963324
10,10,100,6,0.06,100000,145.9459512,76.58204222,873201.2116,99.6805036
11,11,121,6,0.0495,100000,145.2724195,112.032064,946051.9591,107.996799
15,15,225,6,0.0266,100000,139.1943184,388.235419,1165782.672,133.0802136
20,20,400,6,0.015,100000,131.7153596,1221.876689,1346286.039,153.6856209
22,22,484,6,0.0123,100000,129.2794157,1816.729992,1404194.172,160.2961383
