ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,-nan,0.5045289993,112717.6397,12.86731047
5,5,25,12,0.4799999893,100000,-nan,0.9570820332,117138.2886,13.37195076
6,6,36,18,0.5,100000,-nan,1.808789968,105202.135,12.00937615
7,7,49,24,0.4896999896,100000,-nan,3.223723888,107842.2733,12.31076179
8,8,64,32,0.5,100000,-nan,5.260773182,102090.199,11.65413231
9,9,81,40,0.4938000143,100000,-nan,8.376284838,103775.8669,11.84656015
10,10,100,50,0.5,100000,-nan,12.59463501,100394.5779,11.46056826
