ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,100000,-nan,0.549282074,186232.8115,21.25945337
5,5,25,6,0.2399999946,100000,-nan,1.146831989,326844.457,37.31101107
6,6,36,6,0.1666000038,100000,-nan,2.26655817,463249.1622,52.88232446
7,7,49,6,0.1224000007,100000,-nan,4.120774031,586594.1402,66.96280139
8,8,64,6,0.09369999915,100000,-nan,6.902839899,694662.3488,79.29935489
9,9,81,6,0.07400000095,100000,-nan,10.93501592,789595.7504,90.13650119
10,10,100,6,0.05999999866,100000,-nan,16.59683108,871897.0061,99.5316217
11,11,121,6,0.04949999973,100000,-nan,24.21793199,945571.9219,107.9420002
