ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,5574,4.74542307,0.1295180321,191261.7764,21.83353612
5,5,25,6,0.24,3115,8.129353429,0.1423909664,333114.1325,38.02672746
6,6,36,6,0.1666,1909,10.98383199,0.1854248047,469764.7244,53.62611009
7,7,49,6,0.1224,1410,12.9992136,0.2556648254,592305.8467,67.61482268
