ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,-nan,0.6071081161,113564.7027,12.96400716
5,5,25,12,0.4799999893,100000,-nan,0.5052111149,117868.2163,13.45527584
6,6,36,18,0.5,100000,-nan,0.6793761253,105913.5488,12.09058776
7,7,49,24,0.4896999896,100000,-nan,0.9901740551,108536.279,12.38998619
8,8,64,32,0.5,100000,-nan,1.460170984,102795.6531,11.7346636
9,9,81,40,0.4938000143,100000,-nan,2.132539988,104363.1616,11.91360292
10,10,100,50,0.5,100000,-nan,3.04655695,101051.2179,11.53552716
