ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,100000,-nan,0.4544148445,219186.6266,25.0213044
5,5,25,6,0.24,100000,-nan,1.1762321,372015.5546,42.46752906
6,6,36,6,0.1666,100000,-nan,2.530472994,521001.5744,59.47506557
7,7,49,6,0.1224,100000,-nan,4.58759594,655408.0461,74.8182701
10,10,100,6,0.06,100000,-nan,18.91829014,975110.9632,111.3140369
11,11,121,6,0.0495,100000,-nan,27.62820792,1058960.671,120.8859213
15,15,225,6,0.0266,100000,-nan,95.39787292,1313786.921,149.9756759
16,16,256,6,0.0234,100000,-nan,123.2507861,1362800.312,155.5708119
