ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,6,0.375,100000,-nan,0.5506589413,189039.3702,21.57983679
5,5,25,6,0.2399999946,100000,-nan,1.159522057,327548.5798,37.39139039
6,6,36,6,0.1666000038,100000,-nan,2.334479094,460206.4896,52.5349874
7,7,49,6,0.1224000007,100000,-nan,4.20532012,579986.0634,66.20845472
8,8,64,6,0.09369999915,100000,-nan,6.984952927,685132.5952,78.21148347
9,9,81,6,0.07400000095,100000,-nan,11.06555796,777622.0774,88.76964354
10,10,100,6,0.05999999866,100000,-nan,17.03727293,858733.4451,98.02893209
11,11,121,6,0.04949999973,100000,-nan,24.60232186,931056.3533,106.2849718
