ROWS,COLS,NUM OF CORES,MIN_CORE,WORKLOAD,NUM_OF_TEST,CONFIDENCE,EXECUTION TIME,MTTF[Hours],MTTF[Years]
4,4,16,8,0.5,100000,63.19523781,1.575405121,115807.4976,13.22003398
28,28,784,392,0.5,100000,8.171652909,3510.669786,99003.51552,11.30177118
30,30,900,450,0.5,100000,7.61049155,4605.072844,98865.1224,11.28597288
32,32,1024,512,0.5,100000,7.123812812,5925.305437,98747.14692,11.27250536
34,34,1156,578,0.5,100000,6.728185939,7958.26165,98641.42815,11.260437
36,36,1296,648,0.5,100000,6.35648094,10689.66127,98555.11566,11.25058398
38,38,1444,722,0.5,100000,6.00727207,11699.67762,98473.20642,11.24123361
40,40,1600,800,0.5,100000,5.703856052,14366.25576,98395.45359,11.23235772
42,42,1764,882,0.5,100000,5.444373601,17868.55978,98329.93497,11.22487842
